,token_id,facility,@timestamp,test_sensor1,test_sensor3,test_sensor2,test_sensor4,test_sensor5,test_sensor6,test_sensor7
0,8WAFN4KDC3,test1,2023-06-21 18:12:57.194792,0.6128122363931388,,,,,,
1,JQVPJFTERT,test1,2023-06-21 18:12:58.194792,0.053210763483656276,,,,,,
2,CS87T9VG98,test1,2023-06-21 18:12:59.194792,0.8967815581155498,,,,,,
3,SGQ9E27E4C,test1,2023-06-21 18:13:00.194792,0.09546739896903556,,,,,,
4,Y4ENEFFS82,test1,2023-06-21 18:13:01.194792,0.1476129801002798,,,,,,
5,JZDZ249SGE,test1,2023-06-21 18:13:02.194792,0.08913544328828094,,,,,,
6,TNXCN3CJWR,test1,2023-06-21 18:13:03.194792,0.3846513708559186,,,,,,
7,GZQ4AXFZ9R,test1,2023-06-21 18:13:04.194792,0.4042973879064332,,,,,,
8,F28CFE2CNY,test1,2023-06-21 18:13:05.194792,0.5358644750237871,,,,,,
9,294SDHFC5J,test1,2023-06-21 18:13:06.194792,0.20845994614946783,,,,,,
10,8WAFN4KDC3,test3,2023-06-21 18:12:57.194792,,0.35417556662347116,,,,,
11,JQVPJFTERT,test3,2023-06-21 18:12:58.194792,,0.02339075362269949,,,,,
12,CS87T9VG98,test3,2023-06-21 18:12:59.194792,,0.6159220262304302,,,,,
13,SGQ9E27E4C,test2,2023-06-21 18:13:00.194792,,,0.2929102920500908,,,,
14,Y4ENEFFS82,test2,2023-06-21 18:13:01.194792,,,0.5143498593735853,,,,
15,JZDZ249SGE,test2,2023-06-21 18:13:02.194792,,,0.15976112463503034,,,,
16,TNXCN3CJWR,test3,2023-06-21 18:13:03.194792,,0.6762538357192209,,,,,
17,GZQ4AXFZ9R,test2,2023-06-21 18:13:04.194792,,,0.8522119719644718,,,,
18,F28CFE2CNY,test3,2023-06-21 18:13:05.194792,,0.18030080168699325,,,,,
19,294SDHFC5J,test3,2023-06-21 18:13:06.194792,,0.7076520113560237,,,,,
20,8WAFN4KDC3,test4,2023-06-22 18:12:57.194792,,,,0.9752327359394947,,,
21,JQVPJFTERT,test4,2023-06-22 18:12:58.194792,,,,0.08786835223833256,,,
22,CS87T9VG98,test4,2023-06-22 18:12:59.194792,,,,0.14086717979046148,,,
23,SGQ9E27E4C,test4,2023-06-22 18:13:00.194792,,,,0.5451644469903952,,,
24,Y4ENEFFS82,test4,2023-06-22 18:13:01.194792,,,,0.471971848805268,,,
25,JZDZ249SGE,test4,2023-06-22 18:13:02.194792,,,,0.8778868878066934,,,
26,TNXCN3CJWR,test4,2023-06-22 18:13:03.194792,,,,0.32936248222906883,,,
27,GZQ4AXFZ9R,test4,2023-06-22 18:13:04.194792,,,,0.9081417900669092,,,
28,F28CFE2CNY,test4,2023-06-22 18:13:05.194792,,,,0.20838922514620117,,,
29,294SDHFC5J,test4,2023-06-22 18:13:06.194792,,,,0.01782062605908996,,,
30,8WAFN4KDC3,test5,2023-06-23 18:12:57.194792,,,,,0.11496363123885311,,
